emotion,song_id,song_name,artist_name,album_name,genre,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
sad,0qFZubf0FS0xxropyslwYJ,Sally,gigi,Sally,[],2023-03-10,0.569,0.32,1,-9.902,1,0.0386,0.52,0.0,0.411,0.269,122.851,273936,3
sad,3MlEryrxCKZkcfX18ZLX96,Candy Necklace (feat. Jon Batiste),Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,"['art pop', 'pop']",2023-03-24,0.343,0.142,11,-16.432,0,0.0395,0.871,0.0103,0.0915,0.0799,116.295,314520,4
sad,7dISpxgINJOQSuXUTEfB9x,Secret,Louane,Sentiments,[],2022-12-09,0.643,0.276,5,-8.481,0,0.0596,0.901,0.0,0.114,0.213,149.503,191173,4
sad,1CS7Sd1u5tWkstBhpssyjP,Take Me to Church,Hozier,Hozier (Expanded Edition),[],2014-09-19,0.566,0.664,4,-5.303,0,0.0464,0.634,0.0,0.116,0.437,128.945,241693,4
sad,2nC3QhMI9reBIOWutbU3Tj,Moral of the Story,Ashe,Moral of the Story,[],2019-02-14,0.572,0.406,10,-8.624,1,0.0427,0.587,4.48e-06,0.102,0.265,119.812,201084,4
sad,4WB9OeauHXnGOMUK4s80gM,Trop beau,Lomepal,Jeannine,[],2018-12-07,0.748,0.66,4,-6.034,0,0.0404,0.295,5.56e-06,0.0883,0.324,123.902,244587,4
sad,6LtHYDgYHRCHoKK3snfr2w,I’m Tired (with Zendaya) - Bonus Track,Labrinth,I’m Tired (with Zendaya) - Bonus Track,[],2022-02-28,0.375,0.133,0,-10.624,0,0.0352,0.651,0.0,0.0695,0.192,131.721,187944,4
sad,11xs8VwgHHIQqz3dbyEcLS,Where's My Love - French Version,SYML,Where's My Love,[],2017-07-07,0.429,0.2,0,-12.981,0,0.031,0.924,0.0081,0.106,0.148,103.785,247827,4
sad,0Qr61NXlyAeQaADO5xn3rI,Cry,Cigarettes After Sex,Cry,['dream pop'],2019-10-25,0.409,0.399,7,-10.456,1,0.0275,0.763,0.654,0.112,0.161,142.823,256800,4
sad,3JvKfv6T31zO0ini8iNItO,Another Love,Tom Odell,Long Way Down (Deluxe),['pop'],2013-06-24,0.445,0.537,4,-8.532,0,0.04,0.695,1.65e-05,0.0944,0.131,122.769,244360,4
sad,45bE4HXI0AwGZXfZtMp8JR,you broke me first,Tate McRae,you broke me first,['pop'],2020-04-17,0.667,0.373,4,-9.389,1,0.05,0.785,0.0,0.0906,0.0823,124.148,169266,4
sad,0QZ5yyl6B6utIWkxeBDxQN,The Night We Met,Lord Huron,Strange Trails,[],2015-04-07,0.545,0.366,2,-9.51,1,0.0378,0.969,0.267,0.641,0.1,86.997,208212,3
sad,3pRaLNL3b8x5uBOcsgvdqM,Hallelujah,Jeff Buckley,Grace,"['singer-songwriter', 'rock']",1994,0.324,0.136,0,-10.33,1,0.0318,0.931,0.00117,0.176,0.0831,97.256,413827,3
sad,10nyNJ6zNy2YVYLrcwLccB,No Surprises,Radiohead,OK Computer,"['alternative rock', 'rock']",1997-05-28,0.255,0.393,5,-10.654,1,0.0278,0.0577,0.00361,0.113,0.118,76.426,229120,4
sad,4RL77hMWUq35NYnPLXBpih,Skinny Love,Birdy,Birdy,[],2011-11-04,0.379,0.29,4,-8.485,1,0.051,0.952,0.00106,0.118,0.169,166.467,201080,4
sad,2S6cDmfUgWiMMf6DNbg4dJ,Infinity - Piano Version,Jaymes Young,Feel Something (Deluxe),[],2022-01-28,0.642,0.232,2,-13.378,0,0.0388,0.912,7.91e-05,0.108,0.111,113.884,235654,4
sad,75JFxkI2RXiU7L9VXzMkle,The Scientist,Coldplay,A Rush of Blood to the Head,[],2002-08-08,0.557,0.442,5,-7.224,1,0.0243,0.731,1.46e-05,0.11,0.213,146.277,309600,4
sad,2Bo0hh0yoQReC4reJav5DT,Breathe Me,Sia,Colour The Small One (Deluxe Edition),[],2004-01-01,0.553,0.621,0,-7.356,1,0.0333,0.0428,0.596,0.115,0.19,120.051,272067,4
sad,4XZW5H0IWyo6VCSBQ6Gc3a,Même les monstres rêvent d'amour,Tsew The Kid,Même les monstres rêvent d'amour,[],2019-02-10,0.455,0.442,1,-13.004,1,0.344,0.763,0.000146,0.392,0.277,172.033,234677,4
sad,3WGsYiBXmaT8XyY4Fmry2v,Big Jet Plane,Angus & Julia Stone,Down the Way,[],2010-03-30,0.762,0.387,10,-8.643,0,0.0277,0.239,0.00756,0.13,0.274,109.959,239147,4
sad,1Ist6PR2BZR3n2z2Y5R6S1,Summertime Sadness,Lana Del Rey,Born To Die – Paradise Edition (Special Version),['pop'],2012-01-01,0.566,0.647,1,-6.815,0,0.0335,0.0477,0.0,0.121,0.22,111.96,264773,4
sad,17mmpDTAuG6DLzqmUKl8w6,The Story of the Impossible,Peter von Poehl,Going To Where The Tea Trees Are,[],2006-05-02,0.612,0.435,3,-10.949,1,0.026,0.888,0.2,0.109,0.384,76.61,217640,4
sad,4kqsT3yDyJr1KZ2AkM9qfD,Elle pleut,Nekfeu,Les étoiles vagabondes : expansion,[],2019-06-21,0.62,0.375,8,-11.064,1,0.455,0.724,2.86e-06,0.125,0.226,92.641,286520,4
sad,6CcJMwBtXByIz4zQLzFkKc,i love you,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",['pop'],2019-03-29,0.421,0.131,0,-18.435,1,0.0382,0.952,0.00453,0.109,0.12,137.446,291796,4
sad,5yVIlYEHZxQVLyInCdldoS,Impossible,James Arthur,James Arthur (Deluxe),['pop'],2013-11-04,0.376,0.695,0,-4.782,0,0.0933,0.135,0.0,0.11,0.302,169.533,209440,4
sad,50Td3qilgs8BLtv8mHyT1t,Control,Zoe Wees,Control,[],2020-03-13,0.599,0.465,4,-4.95,1,0.0314,0.643,1.57e-06,0.149,0.0678,113.82,230880,4
sad,3U4isOIWM3VvDubwSI3y7a,All of Me,John Legend,Love In The Future (Expanded Edition),['pop'],2013-08-30,0.422,0.264,8,-7.064,1,0.0322,0.922,0.0,0.132,0.331,119.93,269560,4
sad,5JX11rWObF2DpfNQRw8tCD,Mad World,Jasmine Thompson,Mad World,[],2017-02-17,0.373,0.17,7,-10.911,1,0.0373,0.964,0.0,0.0858,0.221,172.241,189621,4
sad,57TwkG6mUvWDZsEqARyeI2,Pause,Eddy de Pretto,À TOUS LES BÂTARDS,[],2021-09-01,0.386,0.343,4,-10.897,0,0.144,0.895,0.0,0.119,0.27,189.466,185227,4
sad,7vRriwrloYVaoAe3a9wJHe,"i hate u, i love u (feat. olivia o'brien)",gnash,us,[],2016-03-25,0.492,0.275,6,-13.4,0,0.3,0.687,0.0,0.101,0.18,92.6,251034,4
sad,5wANPM4fQCJwkGd4rN57mH,drivers license,Olivia Rodrigo,SOUR,['pop'],2021-05-21,0.561,0.431,10,-8.81,1,0.0578,0.768,1.42e-05,0.106,0.137,143.875,242013,4
sad,4yyX0nJqMpqaubcGdGsxx9,ODIUM,LXST CXNTURY,UNIVERSE OF THE PAST,[],2019-09-23,0.708,0.781,11,-8.267,0,0.0638,0.163,0.885,0.392,0.345,74.997,166579,4
sad,78Sw5GDo6AlGwTwanjXbGh,Here With Me,d4vd,Here With Me,[],2022-09-22,0.574,0.469,4,-8.209,1,0.0254,0.534,9.21e-05,0.128,0.288,132.023,242485,4
sad,2L9N0zZnd37dwF0clgxMGI,ceilings,Lizzy McAlpine,five seconds flat,[],2022-04-08,0.516,0.322,9,-11.762,1,0.0292,0.473,0.00194,0.215,0.261,148.005,182888,3
sad,59HKbTnmmFONvKLAPuc9rF,Nombreux,Angèle,Brol,[],2018-10-05,0.413,0.116,9,-14.978,0,0.092,0.946,0.0,0.108,0.254,77.781,192547,3
sad,32PIQZMbLl1p4DE9r9cW9l,U-Turn (Lili),AaRON,Artificial Animals Riding on Neverland,[],2007-01-29,0.618,0.543,0,-7.181,1,0.0247,0.381,0.000269,0.103,0.135,75.033,230000,4
sad,2Y67qsABsPKMrvCxPCzL6r,We Go Down Together (with Khalid),Dove Cameron,We Go Down Together (with Khalid),[],2023-02-10,0.494,0.348,9,-9.791,0,0.03,0.652,1.07e-05,0.0859,0.134,104.923,184963,3
sad,1zwMYTA5nlNjZxYrvBB2pV,Someone Like You,Adele,21,[],2011-01-24,0.556,0.319,9,-8.251,1,0.0281,0.893,0.0,0.0996,0.294,135.187,285240,4
sad,7GNYp8iyvgLSqgSLLndu1P,Premier amour,Nour,Premier amour,[],2022-10-07,0.329,0.39,2,-7.434,0,0.0395,0.697,0.0,0.113,0.209,182.413,188409,3
