mood,url
sad,https://open.spotify.com/playlist/37i9dQZF1DX0kTAtGzLyfz?si=345c82b398704d1b
sad,https://open.spotify.com/playlist/6nxPNnmSE0d5WlplUsa5L3?si=a42615d837f7489e
sad,https://open.spotify.com/playlist/3c0Nv5CY6TIaRszlTZbUFk?si=b677ef5ced4c460a
happy,https://open.spotify.com/playlist/37i9dQZF1DXdPec7aLTmlC?si=6649dfe3c0324eec
happy,https://open.spotify.com/playlist/37i9dQZF1DWZKuerrwoAGz?si=64c5529253bd4804
happy,https://open.spotify.com/playlist/37i9dQZF1DWSf2RDTDayIx?si=51296f4597d54b67
angry,https://open.spotify.com/playlist/37i9dQZF1EIgNZCaOGb0Mi?si=9d6679e664414e39
angry,https://open.spotify.com/playlist/609gQW5ztNwAkKnoZplkao?si=510d258ac5c74896
motivated,https://open.spotify.com/playlist/37i9dQZF1DXdxcBWuJkbcy?si=b84f3139ee8e49b4
motivated,https://open.spotify.com/playlist/20nzNR3anCiXiRI2K7cUl1?si=ca4de0fca9974a24
motivated,https://open.spotify.com/playlist/22wbHwDJ1l4otMV0oejUQ8?si=384bea49e19247aa
chill,https://open.spotify.com/playlist/37i9dQZF1DX4WYpdgoIcn6?si=d22c2904ada04882
chill,https://open.spotify.com/playlist/6IKQrtMc4c00YzONcUt7QH?si=6187ee836a384ad8
chill,https://open.spotify.com/playlist/32HiyEXKoCYkxazhRNs1Mn?si=06b54bb348f84f59
focus,https://open.spotify.com/playlist/37i9dQZF1DWZZbwlv3Vmtr?si=944438cff4234f6b
focus,https://open.spotify.com/playlist/37i9dQZF1DWZeKCadgRdKQ?si=729ceeebd4e846b0
focus,https://open.spotify.com/playlist/37i9dQZF1DWZIOAPKUdaKS?si=fcaaeefa817e4382
old nostalgic songs,https://open.spotify.com/playlist/1PIyOkgoqdFbW096U9xKNO?si=96516069d0684977
old nostalgic songs,https://open.spotify.com/playlist/39ZC7UnbYqeRxqG1bxfO5Y?si=7ecf234071424cf4
sad nostalgic songs,https://open.spotify.com/playlist/4rNbdUm2PWphuHyEvgjcx4?si=0e44301494304155
sad nostalgic songs,https://open.spotify.com/playlist/5P8WDtcgBFir1HvXr4Fqki?si=56702e542cf54275
confident,https://open.spotify.com/playlist/37i9dQZF1DX4fpCWaHOned?si=c08339a61730409d
confident,https://open.spotify.com/playlist/0VcVoa2ptPx5QG8K7RF7Zk?si=28e63076770b4e52
tired,https://open.spotify.com/playlist/2nnKl30pHJNDrBhSs59jdf?si=dd548eb0d4134531
tired,https://open.spotify.com/playlist/0Lo31VIQiOvkX8NL1TEiXa?si=edefef8dbde94e77
tired,https://open.spotify.com/playlist/6ePV7XJWNiFA1ZcjASslFU?si=68e19cba7e5a4529
inspiration,https://open.spotify.com/playlist/37i9dQZF1DX5yf1SQXKtUJ?si=efd7fc6096994490
inspiration,https://open.spotify.com/playlist/323T6YJlgdsn6W0sZoLKIz?si=7d3aea1182704da5
scary,https://open.spotify.com/playlist/0Ti7OfFRdnoi8CSrQOjIHX?si=d9bc6c259db945de
scary,https://open.spotify.com/playlist/11AzGmTlQ1eYpiuymva2Ks?si=f63002db663249e5
love,https://open.spotify.com/playlist/37i9dQZF1DX50QitC6Oqtn?si=bc8f4a238f8f446c
love,https://open.spotify.com/playlist/37i9dQZF1DX7rOY2tZUw1k?si=f909b79b73884f81
love,https://open.spotify.com/playlist/37i9dQZF1DWYMvTygsLWlG?si=48b6196d3ca44847
hot,https://open.spotify.com/playlist/2fJlEP0McwaTMeUQKoTeoF?si=a55087c11c08479c
hot,https://open.spotify.com/playlist/5pwB7URsREqoqrXUi2NK8e?si=17d526841dba446a
